date,putin intelligence
2016-05-01,0.0
2016-05-02,0.0
2016-05-03,0.0
2016-05-04,23.625
2016-05-05,0.0
2016-05-06,0.0
2016-05-07,28.875
2016-05-08,0.0
2016-05-09,0.0
2016-05-10,0.0
2016-05-11,0.0
2016-05-12,0.0
2016-05-13,0.0
2016-05-14,0.0
2016-05-15,0.0
2016-05-16,0.0
2016-05-17,0.0
2016-05-18,0.0
2016-05-19,0.0
2016-05-20,0.0
2016-05-21,0.0
2016-05-22,0.0
2016-05-23,0.0
2016-05-24,0.0
2016-05-25,0.0
2016-05-26,0.0
2016-05-27,0.0
2016-05-28,0.0
2016-05-29,0.0
2016-05-30,0.0
2016-05-31,0.0
2016-06-01,0.0
2016-06-02,0.0
2016-06-03,0.0
2016-06-04,0.0
2016-06-05,0.0
2016-06-06,0.0
2016-06-07,0.0
2016-06-08,24.5
2016-06-09,0.0
2016-06-10,0.0
2016-06-11,0.0
2016-06-12,0.0
2016-06-13,0.0
2016-06-14,0.0
2016-06-15,0.0
2016-06-16,0.0
2016-06-17,0.0
2016-06-18,0.0
2016-06-19,0.0
2016-06-20,0.0
2016-06-21,23.625
2016-06-22,0.0
2016-06-23,48.125
2016-06-24,0.0
2016-06-25,28.875
2016-06-26,0.0
2016-06-27,0.0
2016-06-28,0.0
2016-06-29,0.0
2016-06-30,0.0
2016-07-01,0.0
2016-07-02,28.875
2016-07-03,0.0
2016-07-04,0.0
2016-07-05,0.0
2016-07-06,0.0
2016-07-07,0.0
2016-07-08,0.0
2016-07-09,57.75
2016-07-10,0.0
2016-07-11,0.0
2016-07-12,0.0
2016-07-13,0.0
2016-07-14,0.0
2016-07-15,0.0
2016-07-16,0.0
2016-07-17,0.0
2016-07-18,0.0
2016-07-19,0.0
2016-07-20,0.0
2016-07-21,0.0
2016-07-22,0.0
2016-07-23,28.875
2016-07-24,0.0
2016-07-25,24.5
2016-07-26,0.0
2016-07-27,24.5
2016-07-28,24.5
2016-07-29,25.375
2016-07-30,87.5
2016-07-31,0.0
2016-08-01,0.0
2016-08-02,0.0
2016-08-03,0.0
2016-08-04,0.0
2016-08-05,0.0
2016-08-06,0.0
2016-08-07,0.0
2016-08-08,24.5
2016-08-09,0.0
2016-08-10,0.0
2016-08-11,24.5
2016-08-12,0.0
2016-08-13,0.0
2016-08-14,28.875
2016-08-15,0.0
2016-08-16,24.5
2016-08-17,0.0
2016-08-18,0.0
2016-08-19,0.0
2016-08-20,0.0
2016-08-21,0.0
2016-08-22,0.0
2016-08-23,24.5
2016-08-24,0.0
2016-08-25,0.0
2016-08-26,0.0
2016-08-27,28.0
2016-08-28,0.0
2016-08-29,0.0
2016-08-30,0.0
2016-08-31,0.0
2016-09-01,0.0
2016-09-02,0.0
2016-09-03,0.0
2016-09-04,0.0
2016-09-05,0.0
2016-09-06,0.0
2016-09-07,0.0
2016-09-08,23.625
2016-09-09,24.5
2016-09-10,0.0
2016-09-11,0.0
2016-09-12,0.0
2016-09-13,0.0
2016-09-14,0.0
2016-09-15,0.0
2016-09-16,0.0
2016-09-17,0.0
2016-09-18,0.0
2016-09-19,0.0
2016-09-20,0.0
2016-09-21,23.625
2016-09-22,0.0
2016-09-23,0.0
2016-09-24,27.125
2016-09-25,0.0
2016-09-26,0.0
2016-09-27,0.0
2016-09-28,22.75
2016-09-29,0.0
2016-09-30,0.0
2016-10-01,0.0
2016-10-02,7.0
2016-10-03,0.0
2016-10-04,17.375
2016-10-05,9.0
2016-10-06,0.0
2016-10-07,0.0
2016-10-08,0.0
2016-10-09,0.0
2016-10-10,0.0
2016-10-11,17.375
2016-10-12,29.625
2016-10-13,6.0
2016-10-14,0.0
2016-10-15,14.0
2016-10-16,0.0
2016-10-17,34.3125
2016-10-18,22.3125
2016-10-19,23.375
2016-10-20,23.5
2016-10-21,12.5
2016-10-22,7.0
2016-10-23,20.125
2016-10-24,6.0
2016-10-25,0.0
2016-10-26,11.375
2016-10-27,0.0
2016-10-28,0.0
2016-10-29,0.0
2016-10-30,13.125
2016-10-31,6.0
2016-11-01,0.0
2016-11-02,12.0
2016-11-03,12.0
2016-11-04,12.0
2016-11-05,14.0
2016-11-06,0.0
2016-11-07,18.0
2016-11-08,12.0
2016-11-09,11.0
2016-11-10,12.0
2016-11-11,12.0
2016-11-12,0.0
2016-11-13,0.0
2016-11-14,12.0
2016-11-15,0.0
2016-11-16,12.0
2016-11-17,0.0
2016-11-18,12.0
2016-11-19,14.0
2016-11-20,0.0
2016-11-21,0.0
2016-11-22,12.0
2016-11-23,12.0
2016-11-24,25.0
2016-11-25,25.0
2016-11-26,0.0
2016-11-27,0.0
2016-11-28,0.0
2016-11-29,12.0
2016-11-30,0.0
2016-12-01,12.0
2016-12-02,0.0
2016-12-03,13.0
2016-12-04,0.0
2016-12-05,12.0
2016-12-06,0.0
2016-12-07,12.0
2016-12-08,12.0
2016-12-09,13.0
2016-12-10,16.0
2016-12-11,28.0
2016-12-12,23.0
2016-12-13,47.0
2016-12-14,83.0
2016-12-15,60.0
2016-12-16,13.0
2016-12-17,14.0
2016-12-18,14.0
2016-12-19,12.0
2016-12-20,0.0
2016-12-21,13.0
2016-12-22,0.0
2016-12-23,27.0
2016-12-24,0.0
2016-12-25,0.0
2016-12-26,0.0
2016-12-27,25.0
2016-12-28,13.0
2016-12-29,13.0
2016-12-30,13.0
2016-12-31,15.0
2017-01-01,30.0
2017-01-02,0.0
2017-01-03,12.0
2017-01-04,35.0
2017-01-05,36.0
2017-01-06,31.0
2017-01-07,100.0
2017-01-08,26.0
2017-01-09,40.0
2017-01-10,46.0
2017-01-11,46.0
2017-01-12,0.0
2017-01-13,36.0
2017-01-14,27.0
2017-01-15,13.0
2017-01-16,11.0
2017-01-17,34.0
2017-01-18,11.0
2017-01-19,35.0
2017-01-20,12.0
2017-01-21,0.0
2017-01-22,0.0
2017-01-23,11.0
2017-01-24,0.0
2017-01-25,0.0
2017-01-26,0.0
2017-01-27,0.0
2017-01-28,13.0
2017-01-29,0.0
2017-01-30,23.0
2017-01-31,0.0
2017-02-01,11.0
2017-02-02,11.0
2017-02-03,0.0
2017-02-04,13.0
2017-02-05,13.0
2017-02-06,0.0
2017-02-07,11.0
2017-02-08,11.0
2017-02-09,0.0
2017-02-10,0.0
2017-02-11,0.0
2017-02-12,13.0
2017-02-13,11.0
2017-02-14,0.0
2017-02-15,11.0
2017-02-16,29.0
2017-02-17,18.0
2017-02-18,0.0
2017-02-19,0.0
2017-02-20,11.0
2017-02-21,11.0
2017-02-22,11.0
2017-02-23,0.0
2017-02-24,0.0
2017-02-25,0.0
2017-02-26,26.0
2017-02-27,0.0
2017-02-28,0.0
2017-03-01,0.0
