date,vladimir putin car
2016-05-01,0.0
2016-05-02,14.0
2016-05-03,13.0
2016-05-04,0.0
2016-05-05,0.0
2016-05-06,0.0
2016-05-07,0.0
2016-05-08,0.0
2016-05-09,0.0
2016-05-10,0.0
2016-05-11,0.0
2016-05-12,0.0
2016-05-13,14.0
2016-05-14,16.0
2016-05-15,0.0
2016-05-16,27.0
2016-05-17,13.0
2016-05-18,0.0
2016-05-19,14.0
2016-05-20,0.0
2016-05-21,16.0
2016-05-22,0.0
2016-05-23,13.0
2016-05-24,0.0
2016-05-25,14.0
2016-05-26,0.0
2016-05-27,29.0
2016-05-28,0.0
2016-05-29,0.0
2016-05-30,0.0
2016-05-31,0.0
2016-06-01,13.0
2016-06-02,0.0
2016-06-03,0.0
2016-06-04,0.0
2016-06-05,0.0
2016-06-06,20.0
2016-06-07,0.0
2016-06-08,14.0
2016-06-09,0.0
2016-06-10,14.0
2016-06-11,0.0
2016-06-12,16.0
2016-06-13,0.0
2016-06-14,0.0
2016-06-15,13.0
2016-06-16,0.0
2016-06-17,0.0
2016-06-18,0.0
2016-06-19,32.0
2016-06-20,13.0
2016-06-21,0.0
2016-06-22,20.0
2016-06-23,21.0
2016-06-24,0.0
2016-06-25,0.0
2016-06-26,0.0
2016-06-27,0.0
2016-06-28,0.0
2016-06-29,0.0
2016-06-30,0.0
2016-07-01,0.0
2016-07-02,0.0
2016-07-03,0.0
2016-07-04,0.0
2016-07-05,14.0
2016-07-06,0.0
2016-07-07,0.0
2016-07-08,0.0
2016-07-09,0.0
2016-07-10,0.0
2016-07-11,0.0
2016-07-12,0.0
2016-07-13,0.0
2016-07-14,0.0
2016-07-15,0.0
2016-07-16,0.0
2016-07-17,0.0
2016-07-18,14.0
2016-07-19,0.0
2016-07-20,0.0
2016-07-21,14.0
2016-07-22,14.0
2016-07-23,16.0
2016-07-24,16.0
2016-07-25,0.0
2016-07-26,0.0
2016-07-27,14.0
2016-07-28,0.0
2016-07-29,14.0
2016-07-30,16.0
2016-07-31,16.0
2016-08-01,14.0
2016-08-02,14.0
2016-08-03,14.0
2016-08-04,14.0
2016-08-05,29.0
2016-08-06,16.0
2016-08-07,0.0
2016-08-08,14.0
2016-08-09,0.0
2016-08-10,0.0
2016-08-11,14.0
2016-08-12,44.0
2016-08-13,0.0
2016-08-14,0.0
2016-08-15,14.0
2016-08-16,0.0
2016-08-17,27.0
2016-08-18,0.0
2016-08-19,0.0
2016-08-20,16.0
2016-08-21,16.0
2016-08-22,0.0
2016-08-23,0.0
2016-08-24,0.0
2016-08-25,0.0
2016-08-26,0.0
2016-08-27,0.0
2016-08-28,16.0
2016-08-29,13.0
2016-08-30,0.0
2016-08-31,0.0
2016-09-01,0.0
2016-09-02,0.0
2016-09-03,0.0
2016-09-04,0.0
2016-09-05,14.0
2016-09-06,40.0
2016-09-07,100.0
2016-09-08,88.0
2016-09-09,69.0
2016-09-10,94.0
2016-09-11,15.0
2016-09-12,27.0
2016-09-13,0.0
2016-09-14,26.0
2016-09-15,0.0
2016-09-16,14.0
2016-09-17,0.0
2016-09-18,0.0
2016-09-19,26.0
2016-09-20,0.0
2016-09-21,0.0
2016-09-22,13.0
2016-09-23,14.0
2016-09-24,15.0
2016-09-25,0.0
2016-09-26,13.0
2016-09-27,0.0
2016-09-28,13.0
2016-09-29,13.0
2016-09-30,14.0
2016-10-01,7.5
2016-10-02,7.5
2016-10-03,0.0
2016-10-04,6.5
2016-10-05,6.5
2016-10-06,0.0
2016-10-07,16.464412811387902
2016-10-08,7.5
2016-10-09,0.0
2016-10-10,6.5
2016-10-11,0.0
2016-10-12,26.7135231316726
2016-10-13,26.144128113879006
2016-10-14,9.964412811387902
2016-10-15,7.5
2016-10-16,18.60320284697509
2016-10-17,9.395017793594308
2016-10-18,40.969750889679716
2016-10-19,22.179715302491104
2016-10-20,13.0
2016-10-21,6.5
2016-10-22,0.0
2016-10-23,11.10320284697509
2016-10-24,0.0
2016-10-25,12.5
2016-10-26,31.57473309608541
2016-10-27,6.5
2016-10-28,0.0
2016-10-29,18.887900355871885
2016-10-30,0.0
2016-10-31,0.0
2016-11-01,0.0
2016-11-02,0.0
2016-11-03,38.14946619217082
2016-11-04,0.0
2016-11-05,0.0
2016-11-06,0.0
2016-11-07,0.0
2016-11-08,56.37010676156584
2016-11-09,17.651245551601424
2016-11-10,19.359430604982208
2016-11-11,19.928825622775804
2016-11-12,22.20640569395018
2016-11-13,21.637010676156585
2016-11-14,0.0
2016-11-15,18.790035587188616
2016-11-16,0.0
2016-11-17,0.0
2016-11-18,39.28825622775801
2016-11-19,0.0
2016-11-20,21.637010676156585
2016-11-21,18.790035587188616
2016-11-22,0.0
2016-11-23,0.0
2016-11-24,0.0
2016-11-25,0.0
2016-11-26,21.637010676156585
2016-11-27,21.637010676156585
2016-11-28,0.0
2016-11-29,0.0
2016-11-30,0.0
2016-12-01,0.0
2016-12-02,0.0
2016-12-03,0.0
2016-12-04,0.0
2016-12-05,0.0
2016-12-06,0.0
2016-12-07,0.0
2016-12-08,39.28825622775801
2016-12-09,20.498220640569397
2016-12-10,0.0
2016-12-11,0.0
2016-12-12,0.0
2016-12-13,0.0
2016-12-14,18.790035587188616
2016-12-15,0.0
2016-12-16,0.0
2016-12-17,22.20640569395018
2016-12-18,0.0
2016-12-19,19.359430604982208
2016-12-20,0.0
2016-12-21,0.0
2016-12-22,0.0
2016-12-23,0.0
2016-12-24,23.914590747330962
2016-12-25,0.0
2016-12-26,0.0
2016-12-27,0.0
2016-12-28,0.0
2016-12-29,0.0
2016-12-30,0.0
2016-12-31,23.34519572953737
2017-01-01,0.0
2017-01-02,19.928825622775804
2017-01-03,18.790035587188616
2017-01-04,0.0
2017-01-05,0.0
2017-01-06,0.0
2017-01-07,0.0
2017-01-08,21.067615658362993
2017-01-09,0.0
2017-01-10,0.0
2017-01-11,0.0
2017-01-12,0.0
2017-01-13,0.0
2017-01-14,0.0
2017-01-15,0.0
2017-01-16,0.0
2017-01-17,0.0
2017-01-18,0.0
2017-01-19,0.0
2017-01-20,18.790035587188616
2017-01-21,42.704626334519574
2017-01-22,42.135231316725985
2017-01-23,0.0
2017-01-24,0.0
2017-01-25,18.22064056939502
2017-01-26,0.0
2017-01-27,19.359430604982208
2017-01-28,0.0
2017-01-29,0.0
2017-01-30,18.22064056939502
2017-01-31,0.0
2017-02-01,18.22064056939502
2017-02-02,18.22064056939502
2017-02-03,18.790035587188616
2017-02-04,0.0
2017-02-05,20.498220640569397
2017-02-06,18.22064056939502
2017-02-07,0.0
2017-02-08,18.22064056939502
2017-02-09,18.22064056939502
2017-02-10,0.0
2017-02-11,0.0
2017-02-12,0.0
2017-02-13,0.0
2017-02-14,0.0
2017-02-15,18.22064056939502
2017-02-16,0.0
2017-02-17,0.0
2017-02-18,0.0
2017-02-19,0.0
2017-02-20,0.0
2017-02-21,18.22064056939502
2017-02-22,0.0
2017-02-23,0.0
2017-02-24,18.790035587188616
2017-02-25,0.0
2017-02-26,0.0
2017-02-27,0.0
2017-02-28,18.790035587188616
2017-03-01,0.0
2017-03-02,0.0
2017-03-03,13.000400092653038
2017-03-04,0.0
2017-03-05,0.0
2017-03-06,3.4810587715049803
2017-03-07,3.4810587715049803
2017-03-08,0.0
2017-03-09,3.4810587715049803
2017-03-10,13.000400092653038
2017-03-11,10.533807829181496
2017-03-12,7.956705763439955
2017-03-13,3.4810587715049803
2017-03-14,14.33190844195498
2017-03-15,3.4810587715049803
2017-03-16,3.4810587715049803
2017-03-17,3.60538229905873
2017-03-18,3.9783528817199776
2017-03-19,0.0
2017-03-20,3.4810587715049803
2017-03-21,3.4810587715049803
2017-03-22,0.0
2017-03-23,18.22064056939502
2017-03-24,7.335088125671208
2017-03-25,22.966160584556427
2017-03-26,4.102676409273727
2017-03-27,28.37911937501316
2017-03-28,12.59137905620249
2017-03-29,0.0
2017-03-30,3.60538229905873
2017-03-31,3.729705826612479
2017-04-01,14.92118174735202
2017-04-02,8.205352818547453
2017-04-03,7.21076459811746
2017-04-04,0.0
2017-04-05,6.962117543009961
2017-04-06,7.21076459811746
2017-04-07,7.459411653224958
2017-04-08,0.0
2017-04-09,17.156646802417402
2017-04-10,7.21076459811746
2017-04-11,7.21076459811746
2017-04-12,0.0
2017-04-13,7.459411653224958
2017-04-14,8.205352818547453
2017-04-15,17.405293857524903
2017-04-16,0.0
2017-04-17,7.459411653224958
2017-04-18,0.0
2017-04-19,0.0
2017-04-20,0.0
2017-04-21,0.0
2017-04-22,8.205352818547453
2017-04-23,0.0
2017-04-24,0.0
2017-04-25,0.0
2017-04-26,6.962117543009961
2017-04-27,7.21076459811746
2017-04-28,0.0
2017-04-29,0.0
2017-04-30,0.0
2017-05-01,7.708058708332457
2017-05-02,7.21076459811746
2017-05-03,0.0
2017-05-04,0.0
2017-05-05,7.459411653224958
2017-05-06,0.0
2017-05-07,0.0
2017-05-08,7.21076459811746
2017-05-09,0.0
2017-05-10,0.0
2017-05-11,7.21076459811746
2017-05-12,7.459411653224958
2017-05-13,0.0
2017-05-14,16.659352692202408
2017-05-15,7.21076459811746
2017-05-16,0.0
2017-05-17,0.0
2017-05-18,7.21076459811746
2017-05-19,7.459411653224958
2017-05-20,0.0
2017-05-21,0.0
2017-05-22,6.962117543009961
2017-05-23,6.962117543009961
2017-05-24,7.21076459811746
2017-05-25,0.0
2017-05-26,7.708058708332457
2017-05-27,17.405293857524903
2017-05-28,8.702646928762451
2017-05-29,0.0
2017-05-30,0.0
2017-05-31,7.21076459811746
2017-06-01,0.0
2017-06-02,7.459411653224958
2017-06-03,8.453999873654952
