date,grab em by the pussy
2016-05-01,0.0
2016-05-02,0.0
2016-05-03,0.0
2016-05-04,0.0
2016-05-05,0.0
2016-05-06,0.0
2016-05-07,0.0
2016-05-08,0.0
2016-05-09,0.0
2016-05-10,0.0
2016-05-11,0.0
2016-05-12,0.0
2016-05-13,0.0
2016-05-14,0.0
2016-05-15,0.0
2016-05-16,0.0
2016-05-17,0.0
2016-05-18,0.0
2016-05-19,0.0
2016-05-20,0.0
2016-05-21,0.0
2016-05-22,0.0
2016-05-23,0.0
2016-05-24,0.0
2016-05-25,0.0
2016-05-26,0.0
2016-05-27,0.0
2016-05-28,0.0
2016-05-29,0.0
2016-05-30,0.0
2016-05-31,0.0
2016-06-01,0.0
2016-06-02,0.0
2016-06-03,0.0
2016-06-04,0.0
2016-06-05,0.0
2016-06-06,0.0
2016-06-07,0.0
2016-06-08,0.0
2016-06-09,0.0
2016-06-10,0.0
2016-06-11,0.0
2016-06-12,0.0
2016-06-13,0.0
2016-06-14,0.0
2016-06-15,0.0
2016-06-16,0.0
2016-06-17,0.0
2016-06-18,0.0
2016-06-19,0.0
2016-06-20,0.0
2016-06-21,0.0
2016-06-22,0.0
2016-06-23,0.0
2016-06-24,0.0
2016-06-25,0.0
2016-06-26,0.0
2016-06-27,0.0
2016-06-28,0.0
2016-06-29,0.0
2016-06-30,0.0
2016-07-01,0.0
2016-07-02,0.0
2016-07-03,0.0
2016-07-04,0.0
2016-07-05,0.0
2016-07-06,0.0
2016-07-07,0.0
2016-07-08,0.0
2016-07-09,0.0
2016-07-10,0.0
2016-07-11,0.0
2016-07-12,0.0
2016-07-13,0.0
2016-07-14,0.0
2016-07-15,0.0
2016-07-16,0.0
2016-07-17,0.0
2016-07-18,0.0
2016-07-19,0.0
2016-07-20,0.0
2016-07-21,0.0
2016-07-22,0.0
2016-07-23,0.0
2016-07-24,0.0
2016-07-25,0.0
2016-07-26,0.0
2016-07-27,0.0
2016-07-28,0.0
2016-07-29,0.0
2016-07-30,0.0
2016-07-31,0.0
2016-08-01,0.0
2016-08-02,0.0
2016-08-03,0.0
2016-08-04,0.0
2016-08-05,0.0
2016-08-06,0.0
2016-08-07,0.0
2016-08-08,0.0
2016-08-09,0.0
2016-08-10,0.0
2016-08-11,0.0
2016-08-12,0.0
2016-08-13,0.0
2016-08-14,0.0
2016-08-15,0.0
2016-08-16,0.0
2016-08-17,0.0
2016-08-18,0.0
2016-08-19,0.0
2016-08-20,0.0
2016-08-21,0.0
2016-08-22,0.0
2016-08-23,0.0
2016-08-24,0.0
2016-08-25,0.0
2016-08-26,0.0
2016-08-27,0.0
2016-08-28,0.0
2016-08-29,0.0
2016-08-30,0.0
2016-08-31,0.0
2016-09-01,0.0
2016-09-02,0.0
2016-09-03,0.0
2016-09-04,0.0
2016-09-05,0.0
2016-09-06,0.0
2016-09-07,0.0
2016-09-08,0.0
2016-09-09,0.0
2016-09-10,0.0
2016-09-11,0.0
2016-09-12,0.0
2016-09-13,0.0
2016-09-14,0.0
2016-09-15,0.0
2016-09-16,0.0
2016-09-17,0.0
2016-09-18,0.0
2016-09-19,0.0
2016-09-20,0.0
2016-09-21,0.0
2016-09-22,0.0
2016-09-23,0.0
2016-09-24,0.0
2016-09-25,0.0
2016-09-26,0.0
2016-09-27,0.0
2016-09-28,0.0
2016-09-29,0.0
2016-09-30,0.0
2016-10-01,0.0
2016-10-02,0.0
2016-10-03,0.0
2016-10-04,0.0
2016-10-05,0.0
2016-10-06,0.0
2016-10-07,15.726755218216319
2016-10-08,98.29222011385198
2016-10-09,81.59962049335863
2016-10-10,59.37286527514232
2016-10-11,36.4022770398482
2016-10-12,29.93643263757116
2016-10-13,20.12428842504744
2016-10-14,22.60721062618596
2016-10-15,23.10721062618596
2016-10-16,12.277988614800758
2016-10-17,11.295066413662239
2016-10-18,7.863377609108159
2016-10-19,7.829222011385199
2016-10-20,10.329222011385198
2016-10-21,10.81214421252372
2016-10-22,6.8975332068311195
2016-10-23,7.863377609108159
2016-10-24,5.88045540796964
2016-10-25,5.414611005692599
2016-10-26,5.88045540796964
2016-10-27,5.414611005692599
2016-10-28,4.93168880455408
2016-10-29,5.88045540796964
2016-10-30,5.38045540796964
2016-10-31,4.93168880455408
2016-11-01,2.9487666034155597
2016-11-02,4.0
2016-11-03,5.0
2016-11-04,11.0
2016-11-05,10.0
2016-11-06,13.0
2016-11-07,12.0
2016-11-08,18.0
2016-11-09,79.0
2016-11-10,43.0
2016-11-11,27.0
2016-11-12,22.0
2016-11-13,14.0
2016-11-14,8.0
2016-11-15,6.0
2016-11-16,4.0
2016-11-17,7.0
2016-11-18,4.0
2016-11-19,4.0
2016-11-20,5.0
2016-11-21,4.0
2016-11-22,3.0
2016-11-23,2.0
2016-11-24,2.0
2016-11-25,3.0
2016-11-26,4.0
2016-11-27,7.0
2016-11-28,3.0
2016-11-29,2.0
2016-11-30,4.0
2016-12-01,3.0
2016-12-02,2.0
2016-12-03,3.0
2016-12-04,2.0
2016-12-05,2.0
2016-12-06,1.0
2016-12-07,1.0
2016-12-08,3.0
2016-12-09,4.0
2016-12-10,1.0
2016-12-11,3.0
2016-12-12,2.0
2016-12-13,2.0
2016-12-14,4.0
2016-12-15,2.0
2016-12-16,1.0
2016-12-17,1.0
2016-12-18,3.0
2016-12-19,3.0
2016-12-20,1.0
2016-12-21,1.0
2016-12-22,1.0
2016-12-23,3.0
2016-12-24,2.0
2016-12-25,4.0
2016-12-26,2.0
2016-12-27,2.0
2016-12-28,1.0
2016-12-29,3.0
2016-12-30,0.0
2016-12-31,4.0
2017-01-01,2.0
2017-01-02,2.0
2017-01-03,1.0
2017-01-04,1.0
2017-01-05,1.0
2017-01-06,1.0
2017-01-07,2.0
2017-01-08,3.0
2017-01-09,2.0
2017-01-10,2.0
2017-01-11,2.0
2017-01-12,3.0
2017-01-13,4.0
2017-01-14,3.0
2017-01-15,4.0
2017-01-16,2.0
2017-01-17,3.0
2017-01-18,2.0
2017-01-19,2.0
2017-01-20,17.0
2017-01-21,17.0
2017-01-22,22.0
2017-01-23,12.0
2017-01-24,9.0
2017-01-25,4.0
2017-01-26,6.0
2017-01-27,3.0
2017-01-28,3.0
2017-01-29,3.0
2017-01-30,3.0
2017-01-31,2.0
2017-02-01,4.0
2017-02-02,3.0
2017-02-03,3.0
2017-02-04,3.0
2017-02-05,3.0
2017-02-06,3.0
2017-02-07,3.0
2017-02-08,1.0
2017-02-09,2.0
2017-02-10,4.0
2017-02-11,2.0
2017-02-12,4.0
2017-02-13,3.0
2017-02-14,1.0
2017-02-15,2.0
2017-02-16,1.0
2017-02-17,1.0
2017-02-18,3.0
2017-02-19,2.0
2017-02-20,3.0
