date,obama pneumonia
2016-10-03,0.0
2016-10-04,17.61111111111111
2016-10-05,0.0
2016-10-06,0.0
2016-10-07,0.0
2016-10-08,10.648148148148149
2016-10-09,0.0
2016-10-10,3.5
2016-10-11,0.0
2016-10-12,0.0
2016-10-13,0.0
2016-10-14,0.0
2016-10-15,6.5
2016-10-16,0.0
2016-10-17,3.3703703703703702
2016-10-18,3.3703703703703702
2016-10-19,0.0
2016-10-20,0.0
2016-10-21,0.0
2016-10-22,3.888888888888889
2016-10-23,0.0
2016-10-24,0.0
2016-10-25,8.87037037037037
2016-10-26,0.0
2016-10-27,12.24074074074074
2016-10-28,0.0
2016-10-29,0.0
2016-10-30,0.0
2016-10-31,0.0
2016-11-01,0.0
2016-11-02,0.0
2016-11-03,6.7407407407407405
2016-11-04,7.0
2016-11-05,0.0
2016-11-06,7.518518518518518
2016-11-07,6.481481481481481
2016-11-08,0.0
2016-11-09,18.666666666666664
2016-11-10,13.481481481481481
2016-11-11,7.0
2016-11-12,0.0
2016-11-13,7.777777777777778
2016-11-14,9.851851851851851
2016-11-15,0.0
2016-11-16,6.7407407407407405
2016-11-17,6.7407407407407405
2016-11-18,0.0
2016-11-19,0.0
2016-11-20,0.0
2016-11-21,0.0
2016-11-22,6.481481481481481
2016-11-23,0.0
2016-11-24,7.0
2016-11-25,0.0
2016-11-26,7.518518518518518
2016-11-27,0.0
2016-11-28,6.481481481481481
2016-11-29,0.0
2016-11-30,0.0
2016-12-01,0.0
2016-12-02,7.0
2016-12-03,0.0
2016-12-04,0.0
2016-12-05,6.481481481481481
2016-12-06,0.0
2016-12-07,0.0
2016-12-08,0.0
2016-12-09,0.0
2016-12-10,0.0
2016-12-11,8.037037037037036
2016-12-12,0.0
2016-12-13,13.222222222222221
2016-12-14,0.0
2016-12-15,0.0
2016-12-16,0.0
2016-12-17,0.0
2016-12-18,0.0
2016-12-19,6.7407407407407405
2016-12-20,0.0
2016-12-21,0.0
2016-12-22,0.0
2016-12-23,0.0
2016-12-24,0.0
2016-12-25,0.0
2016-12-26,0.0
2016-12-27,7.0
2016-12-28,0.0
2016-12-29,7.259259259259259
2016-12-30,7.518518518518518
2016-12-31,0.0
2017-01-01,0.0
2017-01-02,7.0
2017-01-03,0.0
2017-01-04,6.7407407407407405
2017-01-05,0.0
2017-01-06,7.0
2017-01-07,7.518518518518518
2017-01-08,0.0
2017-01-09,6.481481481481481
2017-01-10,6.481481481481481
2017-01-11,25.925925925925924
2017-01-12,6.481481481481481
2017-01-13,0.0
2017-01-14,15.037037037037036
2017-01-15,0.0
2017-01-16,0.0
2017-01-17,6.481481481481481
2017-01-18,6.481481481481481
2017-01-19,9.851851851851851
2017-01-20,23.074074074074073
2017-01-21,7.518518518518518
2017-01-22,14.777777777777777
2017-01-23,6.222222222222221
2017-01-24,9.592592592592592
2017-01-25,6.481481481481481
2017-01-26,6.481481481481481
2017-01-27,6.7407407407407405
2017-01-28,0.0
2017-01-29,7.518518518518518
2017-01-30,6.481481481481481
2017-01-31,0.0
2017-02-01,6.481481481481481
2017-02-02,0.0
2017-02-03,0.0
2017-02-04,0.0
2017-02-05,0.0
2017-02-06,6.481481481481481
2017-02-07,6.481481481481481
2017-02-08,0.0
2017-02-09,6.481481481481481
2017-02-10,0.0
2017-02-11,0.0
2017-02-12,7.259259259259259
2017-02-13,0.0
2017-02-14,0.0
2017-02-15,0.0
2017-02-16,0.0
2017-02-17,0.0
2017-02-18,15.037037037037036
2017-02-19,0.0
2017-02-20,0.0
2017-02-21,0.0
2017-02-22,0.0
2017-02-23,0.0
2017-02-24,0.0
2017-02-25,0.0
2017-02-26,0.0
2017-02-27,6.481481481481481
2017-02-28,6.481481481481481
2017-03-01,0.0
2017-03-02,0.0
2017-03-03,0.0
2017-03-04,7.627525252525253
2017-03-05,7.55976430976431
2017-03-06,6.222222222222221
2017-03-07,9.887205387205388
2017-03-08,0.0
2017-03-09,0.0
2017-03-10,6.832070707070707
2017-03-11,0.0
2017-03-12,7.55976430976431
2017-03-13,0.0
2017-03-14,0.0
2017-03-15,0.0
2017-03-16,3.1111111111111107
2017-03-17,0.0
2017-03-18,0.0
2017-03-19,0.0
2017-03-20,0.0
2017-03-21,0.0
2017-03-22,0.0
2017-03-23,0.0
2017-03-24,0.0
2017-03-25,0.0
2017-03-26,4.065656565656566
2017-03-27,0.0
2017-03-28,0.0
2017-03-29,6.764309764309764
2017-03-30,0.0
2017-03-31,0.0
2017-04-01,0.0
2017-04-02,0.0
2017-04-03,0.0
2017-04-04,0.0
2017-04-05,6.911616161616161
2017-04-06,7.1826599326599325
2017-04-07,7.3181818181818175
2017-04-08,0.0
2017-04-09,0.0
2017-04-10,7.1826599326599325
2017-04-11,0.0
2017-04-12,0.0
2017-04-13,0.0
2017-04-14,0.0
2017-04-15,0.0
2017-04-16,0.0
2017-04-17,0.0
2017-04-18,7.047138047138047
2017-04-19,6.911616161616161
2017-04-20,7.047138047138047
2017-04-21,0.0
2017-04-22,0.0
2017-04-23,8.131313131313131
2017-04-24,0.0
2017-04-25,0.0
2017-04-26,0.0
2017-04-27,0.0
2017-04-28,0.0
2017-04-29,0.0
2017-04-30,0.0
2017-05-01,0.0
2017-05-02,0.0
2017-05-03,0.0
2017-05-04,0.0
2017-05-05,7.3181818181818175
2017-05-06,0.0
2017-05-07,0.0
2017-05-08,0.0
2017-05-09,0.0
2017-05-10,0.0
2017-05-11,0.0
2017-05-12,7.3181818181818175
2017-05-13,0.0
2017-05-14,0.0
2017-05-15,0.0
2017-05-16,0.0
2017-05-17,0.0
2017-05-18,7.1826599326599325
2017-05-19,0.0
2017-05-20,0.0
2017-05-21,0.0
2017-05-22,7.047138047138047
2017-05-23,0.0
2017-05-24,0.0
2017-05-25,7.453703703703703
2017-05-26,0.0
2017-05-27,0.0
2017-05-28,0.0
2017-05-29,0.0
2017-05-30,0.0
2017-05-31,7.047138047138047
2017-06-01,0.0
2017-06-02,0.0
2017-06-03,0.0
