date,seizure
2016-05-01,11.0
2016-05-02,13.0
2016-05-03,12.0
2016-05-04,14.0
2016-05-05,14.0
2016-05-06,14.0
2016-05-07,10.0
2016-05-08,11.0
2016-05-09,13.0
2016-05-10,12.0
2016-05-11,14.0
2016-05-12,13.0
2016-05-13,12.0
2016-05-14,10.0
2016-05-15,10.0
2016-05-16,12.0
2016-05-17,12.0
2016-05-18,13.0
2016-05-19,12.0
2016-05-20,11.0
2016-05-21,11.0
2016-05-22,11.0
2016-05-23,12.0
2016-05-24,13.0
2016-05-25,13.0
2016-05-26,12.0
2016-05-27,11.0
2016-05-28,10.0
2016-05-29,11.0
2016-05-30,10.0
2016-05-31,11.0
2016-06-01,11.0
2016-06-02,11.0
2016-06-03,11.0
2016-06-04,11.0
2016-06-05,10.0
2016-06-06,12.0
2016-06-07,11.0
2016-06-08,12.0
2016-06-09,13.0
2016-06-10,11.0
2016-06-11,11.0
2016-06-12,11.0
2016-06-13,15.0
2016-06-14,18.0
2016-06-15,13.0
2016-06-16,14.0
2016-06-17,12.0
2016-06-18,12.0
2016-06-19,10.0
2016-06-20,12.0
2016-06-21,13.0
2016-06-22,11.0
2016-06-23,11.0
2016-06-24,11.0
2016-06-25,11.0
2016-06-26,11.0
2016-06-27,11.0
2016-06-28,11.0
2016-06-29,13.0
2016-06-30,11.0
2016-07-01,11.0
2016-07-02,10.0
2016-07-03,9.0
2016-07-04,11.0
2016-07-05,12.0
2016-07-06,13.0
2016-07-07,12.0
2016-07-08,11.0
2016-07-09,11.0
2016-07-10,11.0
2016-07-11,13.0
2016-07-12,13.0
2016-07-13,12.0
2016-07-14,12.0
2016-07-15,12.0
2016-07-16,12.0
2016-07-17,12.0
2016-07-18,13.0
2016-07-19,13.0
2016-07-20,12.0
2016-07-21,13.0
2016-07-22,12.0
2016-07-23,16.0
2016-07-24,19.0
2016-07-25,17.0
2016-07-26,15.0
2016-07-27,14.0
2016-07-28,14.0
2016-07-29,14.0
2016-07-30,14.0
2016-07-31,13.0
2016-08-01,12.0
2016-08-02,13.0
2016-08-03,13.0
2016-08-04,13.0
2016-08-05,12.0
2016-08-06,12.0
2016-08-07,14.0
2016-08-08,18.0
2016-08-09,17.0
2016-08-10,15.0
2016-08-11,15.0
2016-08-12,16.0
2016-08-13,14.0
2016-08-14,14.0
2016-08-15,15.0
2016-08-16,15.0
2016-08-17,15.0
2016-08-18,14.0
2016-08-19,13.0
2016-08-20,13.0
2016-08-21,12.0
2016-08-22,15.0
2016-08-23,14.0
2016-08-24,14.0
2016-08-25,15.0
2016-08-26,13.0
2016-08-27,14.0
2016-08-28,13.0
2016-08-29,13.0
2016-08-30,13.0
2016-08-31,15.0
2016-09-01,13.0
2016-09-02,13.0
2016-09-03,11.0
2016-09-04,12.0
2016-09-05,12.0
2016-09-06,14.0
2016-09-07,15.0
2016-09-08,13.0
2016-09-09,14.0
2016-09-10,12.0
2016-09-11,28.0
2016-09-12,100.0
2016-09-13,67.0
2016-09-14,28.0
2016-09-15,18.0
2016-09-16,18.0
2016-09-17,14.0
2016-09-18,14.0
2016-09-19,14.0
2016-09-20,13.0
2016-09-21,16.0
2016-09-22,15.0
2016-09-23,15.0
2016-09-24,13.0
2016-09-25,13.0
2016-09-26,15.0
2016-09-27,17.0
2016-09-28,16.0
2016-09-29,15.0
2016-09-30,13.0
2016-10-01,10.741379310344827
2016-10-02,9.913793103448276
2016-10-03,12.060344827586206
2016-10-04,11.642241379310345
2016-10-05,12.469827586206897
2016-10-06,13.21551724137931
2016-10-07,12.969827586206897
2016-10-08,10.65948275862069
2016-10-09,11.150862068965516
2016-10-10,13.797413793103448
2016-10-11,13.21551724137931
2016-10-12,16.689655172413794
2016-10-13,14.043103448275861
2016-10-14,12.060344827586206
2016-10-15,11.150862068965516
2016-10-16,13.788793103448276
2016-10-17,15.943965517241379
2016-10-18,14.625
2016-10-19,14.952586206896552
2016-10-20,15.607758620689655
2016-10-21,14.788793103448276
2016-10-22,12.969827586206897
2016-10-23,11.814655172413794
2016-10-24,13.961206896551724
2016-10-25,13.71551724137931
2016-10-26,13.797413793103448
2016-10-27,12.887931034482758
2016-10-28,12.478448275862068
2016-10-29,10.905172413793103
2016-10-30,12.060344827586206
2016-10-31,13.797413793103448
2016-11-01,14.125
2016-11-02,13.922413793103448
2016-11-03,13.431034482758621
2016-11-04,12.284482758620689
2016-11-05,11.46551724137931
2016-11-06,11.46551724137931
2016-11-07,14.086206896551724
2016-11-08,14.413793103448276
2016-11-09,12.61206896551724
2016-11-10,14.086206896551724
2016-11-11,12.939655172413792
2016-11-12,10.974137931034482
2016-11-13,11.46551724137931
2016-11-14,14.086206896551724
2016-11-15,13.922413793103448
2016-11-16,13.267241379310345
2016-11-17,14.413793103448276
2016-11-18,12.775862068965516
2016-11-19,10.482758620689655
2016-11-20,10.155172413793103
2016-11-21,11.956896551724137
2016-11-22,12.284482758620689
2016-11-23,12.120689655172413
2016-11-24,9.663793103448276
2016-11-25,9.5
2016-11-26,10.64655172413793
2016-11-27,11.301724137931034
2016-11-28,12.939655172413792
2016-11-29,13.103448275862068
2016-11-30,13.431034482758621
2016-12-01,14.413793103448276
2016-12-02,13.922413793103448
2016-12-03,11.137931034482758
2016-12-04,11.46551724137931
2016-12-05,13.267241379310345
2016-12-06,13.103448275862068
2016-12-07,13.758620689655173
2016-12-08,12.939655172413792
2016-12-09,12.120689655172413
2016-12-10,9.663793103448276
2016-12-11,10.810344827586206
2016-12-12,13.267241379310345
2016-12-13,13.922413793103448
2016-12-14,13.431034482758621
2016-12-15,12.939655172413792
2016-12-16,13.431034482758621
2016-12-17,12.775862068965516
2016-12-18,11.629310344827585
2016-12-19,12.61206896551724
2016-12-20,13.103448275862068
2016-12-21,12.448275862068964
2016-12-22,11.793103448275861
2016-12-23,9.991379310344827
2016-12-24,10.318965517241379
2016-12-25,9.827586206896552
2016-12-26,10.974137931034482
2016-12-27,10.974137931034482
2016-12-28,12.61206896551724
2016-12-29,12.284482758620689
2016-12-30,11.301724137931034
2016-12-31,11.301724137931034
2017-01-01,10.318965517241379
2017-01-02,11.629310344827585
2017-01-03,12.61206896551724
2017-01-04,12.61206896551724
2017-01-05,13.103448275862068
2017-01-06,12.61206896551724
2017-01-07,10.974137931034482
2017-01-08,10.810344827586206
2017-01-09,12.448275862068964
2017-01-10,13.758620689655173
2017-01-11,12.448275862068964
2017-01-12,12.775862068965516
2017-01-13,12.120689655172413
2017-01-14,9.827586206896552
2017-01-15,12.120689655172413
2017-01-16,11.956896551724137
2017-01-17,13.594827586206897
2017-01-18,13.267241379310345
2017-01-19,15.232758620689655
2017-01-20,11.793103448275861
2017-01-21,11.629310344827585
2017-01-22,11.629310344827585
2017-01-23,13.758620689655173
2017-01-24,13.922413793103448
2017-01-25,13.267241379310345
2017-01-26,13.594827586206897
2017-01-27,12.61206896551724
2017-01-28,11.956896551724137
2017-01-29,11.46551724137931
2017-01-30,13.594827586206897
2017-01-31,12.939655172413792
2017-02-01,14.577586206896552
2017-02-02,13.922413793103448
2017-02-03,13.594827586206897
2017-02-04,10.482758620689655
2017-02-05,11.46551724137931
2017-02-06,13.431034482758621
2017-02-07,14.413793103448276
2017-02-08,14.086206896551724
2017-02-09,13.922413793103448
2017-02-10,12.939655172413792
2017-02-11,11.956896551724137
2017-02-12,13.594827586206897
2017-02-13,13.103448275862068
2017-02-14,12.775862068965516
2017-02-15,13.103448275862068
2017-02-16,13.267241379310345
2017-02-17,12.448275862068964
2017-02-18,10.974137931034482
2017-02-19,11.793103448275861
2017-02-20,12.939655172413792
2017-02-21,14.413793103448276
2017-02-22,13.431034482758621
2017-02-23,13.594827586206897
2017-02-24,12.775862068965516
2017-02-25,12.284482758620689
2017-02-26,12.448275862068964
2017-02-27,14.905172413793103
2017-02-28,13.922413793103448
2017-03-01,12.369864269992664
2017-03-02,13.858813279530448
2017-03-03,13.746423330887747
2017-03-04,10.950614453411593
2017-03-05,13.713316214233311
2017-03-06,14.48349229640499
2017-03-07,14.180300807043288
2017-03-08,14.237802641232577
2017-03-09,14.377201027146004
2017-03-10,12.287967718268526
2017-03-11,11.020313646368306
2017-03-12,11.745185253118123
2017-03-13,13.38573000733676
2017-03-14,14.06791085840059
2017-03-15,14.489590975788703
2017-03-16,14.192498165810713
2017-03-17,12.679154438738077
2017-03-18,14.407694424064566
2017-03-19,13.246331621423334
2017-03-20,14.39549706529714
2017-03-21,14.319699192956715
2017-03-22,13.391828686720471
2017-03-23,14.704787234042556
2017-03-24,15.359959647835659
2017-03-25,10.55942773294204
2017-03-26,11.808785766691123
2017-03-27,13.228035583272195
2017-03-28,13.946808510638299
2017-03-29,13.316030814380046
2017-03-30,14.628989361702128
2017-03-31,12.842947542186355
2017-04-01,11.556997432134999
2017-04-02,12.885638297872344
2017-04-03,14.250000000000004
2017-04-04,12.58244680851064
2017-04-05,15.007978723404259
2017-04-06,11.976063829787238
2017-04-07,12.127659574468089
2017-04-08,11.521276595744684
2017-04-09,10.91489361702128
2017-04-10,11.976063829787238
2017-04-11,12.127659574468089
2017-04-12,13.946808510638302
2017-04-13,13.492021276595748
2017-04-14,13.340425531914898
2017-04-15,10.156914893617024
2017-04-16,9.853723404255321
2017-04-17,13.188829787234045
2017-04-18,12.734042553191493
2017-04-19,13.340425531914898
2017-04-20,13.643617021276599
2017-04-21,13.340425531914898
2017-04-22,11.218085106382981
2017-04-23,11.521276595744684
2017-04-24,13.188829787234045
2017-04-25,13.037234042553195
2017-04-26,11.976063829787238
2017-04-27,12.885638297872344
2017-04-28,12.58244680851064
2017-04-29,11.369680851063833
2017-04-30,11.672872340425535
2017-05-01,13.037234042553195
2017-05-02,12.27925531914894
2017-05-03,12.734042553191493
2017-05-04,13.79521276595745
2017-05-05,12.127659574468089
2017-05-06,10.005319148936172
2017-05-07,10.460106382978726
2017-05-08,11.976063829787238
2017-05-09,12.27925531914894
2017-05-10,14.098404255319153
2017-05-11,12.734042553191493
2017-05-12,12.734042553191493
2017-05-13,11.218085106382981
2017-05-14,10.156914893617024
2017-05-15,13.037234042553195
2017-05-16,13.340425531914898
2017-05-17,13.188829787234045
2017-05-18,11.06648936170213
2017-05-19,10.763297872340429
2017-05-20,10.763297872340429
2017-05-21,11.369680851063833
2017-05-22,12.885638297872344
2017-05-23,11.521276595744684
2017-05-24,11.824468085106385
2017-05-25,13.492021276595748
2017-05-26,12.58244680851064
2017-05-27,10.611702127659576
2017-05-28,11.218085106382981
2017-05-29,10.763297872340429
2017-05-30,13.340425531914898
2017-05-31,11.976063829787238
2017-06-01,12.127659574468089
2017-06-02,12.885638297872344
2017-06-03,12.43085106382979
