date,syria chemical attack
2016-05-01,16.0
2016-05-02,0.0
2016-05-03,41.0
2016-05-04,21.0
2016-05-05,43.0
2016-05-06,15.0
2016-05-07,0.0
2016-05-08,0.0
2016-05-09,14.0
2016-05-10,27.0
2016-05-11,41.0
2016-05-12,28.0
2016-05-13,0.0
2016-05-14,0.0
2016-05-15,0.0
2016-05-16,0.0
2016-05-17,0.0
2016-05-18,14.0
2016-05-19,0.0
2016-05-20,0.0
2016-05-21,16.0
2016-05-22,16.0
2016-05-23,0.0
2016-05-24,14.0
2016-05-25,14.0
2016-05-26,0.0
2016-05-27,0.0
2016-05-28,0.0
2016-05-29,0.0
2016-05-30,0.0
2016-05-31,0.0
2016-06-01,14.0
2016-06-02,0.0
2016-06-03,15.0
2016-06-04,17.0
2016-06-05,0.0
2016-06-06,0.0
2016-06-07,14.0
2016-06-08,0.0
2016-06-09,0.0
2016-06-10,15.0
2016-06-11,16.0
2016-06-12,0.0
2016-06-13,0.0
2016-06-14,0.0
2016-06-15,0.0
2016-06-16,14.0
2016-06-17,0.0
2016-06-18,33.0
2016-06-19,0.0
2016-06-20,0.0
2016-06-21,14.0
2016-06-22,0.0
2016-06-23,14.0
2016-06-24,0.0
2016-06-25,0.0
2016-06-26,0.0
2016-06-27,0.0
2016-06-28,0.0
2016-06-29,0.0
2016-06-30,0.0
2016-07-01,0.0
2016-07-02,0.0
2016-07-03,0.0
2016-07-04,15.0
2016-07-05,43.0
2016-07-06,0.0
2016-07-07,14.0
2016-07-08,0.0
2016-07-09,0.0
2016-07-10,16.0
2016-07-11,56.0
2016-07-12,14.0
2016-07-13,14.0
2016-07-14,14.0
2016-07-15,0.0
2016-07-16,17.0
2016-07-17,17.0
2016-07-18,0.0
2016-07-19,0.0
2016-07-20,28.0
2016-07-21,0.0
2016-07-22,29.0
2016-07-23,0.0
2016-07-24,0.0
2016-07-25,0.0
2016-07-26,0.0
2016-07-27,0.0
2016-07-28,21.0
2016-07-29,0.0
2016-07-30,17.0
2016-07-31,17.0
2016-08-01,0.0
2016-08-02,50.0
2016-08-03,64.0
2016-08-04,14.0
2016-08-05,15.0
2016-08-06,17.0
2016-08-07,0.0
2016-08-08,0.0
2016-08-09,14.0
2016-08-10,14.0
2016-08-11,14.0
2016-08-12,74.0
2016-08-13,100.0
2016-08-14,17.0
2016-08-15,0.0
2016-08-16,0.0
2016-08-17,14.0
2016-08-18,14.0
2016-08-19,15.0
2016-08-20,0.0
2016-08-21,32.0
2016-08-22,14.0
2016-08-23,28.0
2016-08-24,14.0
2016-08-25,21.0
2016-08-26,15.0
2016-08-27,33.0
2016-08-28,32.0
2016-08-29,20.0
2016-08-30,14.0
2016-08-31,27.0
2016-09-01,14.0
2016-09-02,21.0
2016-09-03,32.0
2016-09-04,0.0
2016-09-05,21.0
2016-09-06,27.0
2016-09-07,48.0
2016-09-08,48.0
2016-09-09,21.0
2016-09-10,16.0
2016-09-11,0.0
2016-09-12,14.0
2016-09-13,20.0
2016-09-14,0.0
2016-09-15,14.0
2016-09-16,14.0
2016-09-17,0.0
2016-09-18,15.0
2016-09-19,26.0
2016-09-20,27.0
2016-09-21,14.0
2016-09-22,41.0
2016-09-23,14.0
2016-09-24,16.0
2016-09-25,16.0
2016-09-26,0.0
2016-09-27,13.0
2016-09-28,0.0
2016-09-29,13.0
2016-09-30,28.0
2016-10-01,7.203663793103448
2016-10-02,36.49568965517241
2016-10-03,6.174568965517241
2016-10-04,12.46875
2016-10-05,32.349137931034484
2016-10-06,19.674568965517242
2016-10-07,19.880387931034484
2016-10-08,25.907327586206897
2016-10-09,21.701508620689655
2016-10-10,6.174568965517241
2016-10-11,18.849137931034484
2016-10-12,19.880387931034484
2016-10-13,19.261853448275865
2016-10-14,33.26077586206897
2016-10-15,7.203663793103448
2016-10-16,21.701508620689655
2016-10-17,12.46875
2016-10-18,5.96875
2016-10-19,16.174568965517242
2016-10-20,0.0
2016-10-21,19.054956896551722
2016-10-22,25.701508620689655
2016-10-23,28.995689655172413
2016-10-24,37.61206896551724
2016-10-25,22.05603448275862
2016-10-26,12.46875
2016-10-27,12.674568965517242
2016-10-28,16.380387931034484
2016-10-29,21.701508620689655
2016-10-30,7.5
2016-10-31,7.0
2016-11-01,19.054956896551722
2016-11-02,0.0
2016-11-03,24.286637931034484
2016-11-04,12.349137931034482
2016-11-05,0.0
2016-11-06,0.0
2016-11-07,0.0
2016-11-08,0.0
2016-11-09,16.877155172413794
2016-11-10,11.9375
2016-11-11,25.521551724137932
2016-11-12,0.0
2016-11-13,13.58405172413793
2016-11-14,23.875
2016-11-15,11.9375
2016-11-16,23.875
2016-11-17,0.0
2016-11-18,12.349137931034482
2016-11-19,13.995689655172415
2016-11-20,41.16379310344828
2016-11-21,11.9375
2016-11-22,17.700431034482758
2016-11-23,35.8125
2016-11-24,24.698275862068964
2016-11-25,0.0
2016-11-26,13.58405172413793
2016-11-27,20.170258620689655
2016-11-28,35.400862068965516
2016-11-29,23.463362068965516
2016-11-30,0.0
2016-12-01,0.0
2016-12-02,0.0
2016-12-03,13.58405172413793
2016-12-04,0.0
2016-12-05,11.9375
2016-12-06,11.9375
2016-12-07,11.9375
2016-12-08,12.349137931034482
2016-12-09,12.760775862068966
2016-12-10,0.0
2016-12-11,0.0
2016-12-12,23.463362068965516
2016-12-13,11.9375
2016-12-14,23.875
2016-12-15,24.286637931034484
2016-12-16,12.760775862068966
2016-12-17,21.405172413793103
2016-12-18,13.995689655172415
2016-12-19,36.224137931034484
2016-12-20,12.349137931034482
2016-12-21,0.0
2016-12-22,12.760775862068966
2016-12-23,0.0
2016-12-24,15.230603448275863
2016-12-25,15.642241379310345
2016-12-26,13.58405172413793
2016-12-27,0.0
2016-12-28,0.0
2016-12-29,0.0
2016-12-30,13.58405172413793
2016-12-31,0.0
2017-01-01,15.230603448275863
2017-01-02,0.0
2017-01-03,0.0
2017-01-04,0.0
2017-01-05,11.9375
2017-01-06,0.0
2017-01-07,13.58405172413793
2017-01-08,13.172413793103448
2017-01-09,11.525862068965518
2017-01-10,11.525862068965518
2017-01-11,0.0
2017-01-12,11.525862068965518
2017-01-13,11.9375
2017-01-14,13.58405172413793
2017-01-15,0.0
2017-01-16,0.0
2017-01-17,0.0
2017-01-18,0.0
2017-01-19,35.400862068965516
2017-01-20,11.9375
2017-01-21,0.0
2017-01-22,0.0
2017-01-23,0.0
2017-01-24,0.0
2017-01-25,0.0
2017-01-26,11.9375
2017-01-27,0.0
2017-01-28,13.58405172413793
2017-01-29,0.0
2017-01-30,11.525862068965518
2017-01-31,34.98922413793103
2017-02-01,23.051724137931036
2017-02-02,0.0
2017-02-03,11.9375
2017-02-04,0.0
2017-02-05,0.0
2017-02-06,0.0
2017-02-07,11.114224137931034
2017-02-08,0.0
2017-02-09,0.0
2017-02-10,11.9375
2017-02-11,0.0
2017-02-12,0.0
2017-02-13,0.0
2017-02-14,11.525862068965518
2017-02-15,0.0
2017-02-16,0.0
2017-02-17,0.0
2017-02-18,0.0
2017-02-19,0.0
2017-02-20,11.525862068965518
2017-02-21,0.0
2017-02-22,0.0
2017-02-23,11.525862068965518
2017-02-24,18.112068965517242
2017-02-25,13.58405172413793
2017-02-26,26.75646551724138
2017-02-27,0.0
2017-02-28,17.700431034482758
2017-03-01,5.762931034482759
2017-03-02,0.0
2017-03-03,0.0
2017-03-04,0.0
2017-03-05,0.0
2017-03-06,0.0
2017-03-07,0.0
2017-03-08,0.0
2017-03-09,0.0
2017-03-10,5.762931034482759
2017-03-11,0.0
2017-03-12,0.0
2017-03-13,5.762931034482759
2017-03-14,5.557112068965517
2017-03-15,0.0
2017-03-16,5.557112068965517
2017-03-17,5.96875
2017-03-18,0.0
2017-03-19,6.586206896551724
2017-03-20,0.0
2017-03-21,5.762931034482759
2017-03-22,0.0
2017-03-23,0.0
2017-03-24,12.143318965517242
2017-03-25,6.792025862068965
2017-03-26,0.0
2017-03-27,5.557112068965517
2017-03-28,0.0
2017-03-29,0.0
2017-03-30,0.0
2017-03-31,0.0
2017-04-01,0.0
2017-04-02,0.0
2017-04-03,0.0
2017-04-04,19.0
2017-04-05,57.0
2017-04-06,60.0
2017-04-07,100.0
2017-04-08,26.0
2017-04-09,14.0
2017-04-10,7.0
2017-04-11,6.0
2017-04-12,5.0
2017-04-13,6.0
2017-04-14,3.0
2017-04-15,1.0
2017-04-16,1.0
2017-04-17,1.0
2017-04-18,1.0
2017-04-19,1.0
2017-04-20,1.0
2017-04-21,1.0
2017-04-22,0.0
2017-04-23,0.0
2017-04-24,1.0
2017-04-25,1.0
2017-04-26,0.0
2017-04-27,0.0
2017-04-28,0.0
2017-04-29,0.0
2017-04-30,0.0
2017-05-01,0.0
2017-05-02,0.0
2017-05-03,0.0
2017-05-04,0.0
2017-05-05,0.0
2017-05-06,0.0
2017-05-07,0.0
2017-05-08,0.0
2017-05-09,0.0
2017-05-10,0.0
2017-05-11,0.0
2017-05-12,0.0
2017-05-13,0.0
2017-05-14,0.0
2017-05-15,0.0
2017-05-16,0.0
2017-05-17,0.0
2017-05-18,0.0
2017-05-19,0.0
2017-05-20,0.0
2017-05-21,0.0
2017-05-22,0.0
2017-05-23,0.0
2017-05-24,0.0
2017-05-25,0.0
2017-05-26,0.0
2017-05-27,0.0
2017-05-28,0.0
2017-05-29,0.0
2017-05-30,0.0
2017-05-31,0.0
2017-06-01,0.0
2017-06-02,0.0
2017-06-03,0.0
