date,debbie wasserman schultz
2016-05-01,0.0
2016-05-02,0.0
2016-05-03,1.0
2016-05-04,1.0
2016-05-05,0.0
2016-05-06,0.0
2016-05-07,0.0
2016-05-08,0.0
2016-05-09,0.0
2016-05-10,0.0
2016-05-11,1.0
2016-05-12,0.0
2016-05-13,1.0
2016-05-14,0.0
2016-05-15,1.0
2016-05-16,0.0
2016-05-17,1.0
2016-05-18,4.0
2016-05-19,3.0
2016-05-20,2.0
2016-05-21,2.0
2016-05-22,6.0
2016-05-23,4.0
2016-05-24,3.0
2016-05-25,6.0
2016-05-26,2.0
2016-05-27,2.0
2016-05-28,1.0
2016-05-29,1.0
2016-05-30,1.0
2016-05-31,0.0
2016-06-01,0.0
2016-06-02,1.0
2016-06-03,0.0
2016-06-04,0.0
2016-06-05,0.0
2016-06-06,0.0
2016-06-07,1.0
2016-06-08,1.0
2016-06-09,1.0
2016-06-10,1.0
2016-06-11,0.0
2016-06-12,0.0
2016-06-13,0.0
2016-06-14,1.0
2016-06-15,1.0
2016-06-16,1.0
2016-06-17,2.0
2016-06-18,2.0
2016-06-19,1.0
2016-06-20,0.0
2016-06-21,1.0
2016-06-22,0.0
2016-06-23,0.0
2016-06-24,0.0
2016-06-25,0.0
2016-06-26,0.0
2016-06-27,0.0
2016-06-28,0.0
2016-06-29,0.0
2016-06-30,0.0
2016-07-01,0.0
2016-07-02,0.0
2016-07-03,0.0
2016-07-04,0.0
2016-07-05,0.0
2016-07-06,0.0
2016-07-07,0.0
2016-07-08,0.0
2016-07-09,0.0
2016-07-10,0.0
2016-07-11,0.0
2016-07-12,0.0
2016-07-13,0.0
2016-07-14,0.0
2016-07-15,0.0
2016-07-16,0.0
2016-07-17,0.0
2016-07-18,0.0
2016-07-19,1.0
2016-07-20,1.0
2016-07-21,1.0
2016-07-22,1.0
2016-07-23,5.0
2016-07-24,66.0
2016-07-25,100.0
2016-07-26,40.0
2016-07-27,21.0
2016-07-28,15.0
2016-07-29,20.0
2016-07-30,6.0
2016-07-31,3.0
2016-08-01,7.0
2016-08-02,2.0
2016-08-03,2.0
2016-08-04,1.0
2016-08-05,1.0
2016-08-06,1.0
2016-08-07,1.0
2016-08-08,1.0
2016-08-09,1.0
2016-08-10,1.0
2016-08-11,1.0
2016-08-12,0.0
2016-08-13,1.0
2016-08-14,1.0
2016-08-15,1.0
2016-08-16,1.0
2016-08-17,1.0
2016-08-18,1.0
2016-08-19,0.0
2016-08-20,0.0
2016-08-21,0.0
2016-08-22,1.0
2016-08-23,0.0
2016-08-24,1.0
2016-08-25,1.0
2016-08-26,1.0
2016-08-27,1.0
2016-08-28,1.0
2016-08-29,1.0
2016-08-30,2.0
2016-08-31,27.0
2016-09-01,19.0
2016-09-02,13.0
2016-09-03,1.0
2016-09-04,1.0
2016-09-05,0.0
2016-09-06,1.0
2016-09-07,0.0
2016-09-08,0.0
2016-09-09,0.0
2016-09-10,0.0
2016-09-11,0.0
2016-09-12,0.0
2016-09-13,0.0
2016-09-14,0.0
2016-09-15,0.0
2016-09-16,0.0
2016-09-17,0.0
2016-09-18,0.0
2016-09-19,0.0
2016-09-20,0.0
2016-09-21,0.0
2016-09-22,0.0
2016-09-23,0.0
2016-09-24,0.0
2016-09-25,0.0
2016-09-26,0.0
2016-09-27,3.0
2016-09-28,0.0
2016-09-29,0.0
2016-09-30,0.0
2016-10-01,0.04838709677419355
2016-10-02,0.04838709677419355
2016-10-03,0.06451612903225806
2016-10-04,0.04838709677419355
2016-10-05,0.04838709677419355
2016-10-06,0.04838709677419355
2016-10-07,0.04838709677419355
2016-10-08,0.5806451612903226
2016-10-09,0.04838709677419355
2016-10-10,0.0967741935483871
2016-10-11,0.03225806451612903
2016-10-12,0.06451612903225806
2016-10-13,0.0967741935483871
2016-10-14,0.08064516129032258
2016-10-15,0.03225806451612903
2016-10-16,0.06451612903225806
2016-10-17,0.016129032258064516
2016-10-18,0.06451612903225806
2016-10-19,0.06451612903225806
2016-10-20,0.0967741935483871
2016-10-21,0.06451612903225806
2016-10-22,0.04838709677419355
2016-10-23,0.06451612903225806
2016-10-24,0.5806451612903226
2016-10-25,0.06451612903225806
2016-10-26,0.03225806451612903
2016-10-27,0.06451612903225806
2016-10-28,0.06451612903225806
2016-10-29,0.016129032258064516
2016-10-30,0.04838709677419355
2016-10-31,0.6290322580645161
2016-11-01,0.6290322580645161
2016-11-02,0.22580645161290322
2016-11-03,0.12903225806451613
2016-11-04,0.12903225806451613
2016-11-05,0.16129032258064516
2016-11-06,0.1935483870967742
2016-11-07,0.12903225806451613
2016-11-08,0.1935483870967742
2016-11-09,3.225806451612903
2016-11-10,1.161290322580645
2016-11-11,1.064516129032258
2016-11-12,0.6451612903225806
2016-11-13,0.5806451612903225
2016-11-14,0.4838709677419355
2016-11-15,0.3870967741935484
2016-11-16,0.25806451612903225
2016-11-17,0.22580645161290322
2016-11-18,0.12903225806451613
2016-11-19,0.1935483870967742
2016-11-20,0.12903225806451613
2016-11-21,0.06451612903225806
2016-11-22,0.12903225806451613
2016-11-23,0.12903225806451613
2016-11-24,0.03225806451612903
2016-11-25,0.06451612903225806
2016-11-26,0.0967741935483871
2016-11-27,0.06451612903225806
2016-11-28,0.06451612903225806
2016-11-29,0.03225806451612903
2016-11-30,0.06451612903225806
2016-12-01,0.06451612903225806
2016-12-02,0.03225806451612903
2016-12-03,0.06451612903225806
2016-12-04,0.0967741935483871
2016-12-05,0.06451612903225806
2016-12-06,0.0967741935483871
2016-12-07,0.06451612903225806
2016-12-08,0.03225806451612903
2016-12-09,0.06451612903225806
2016-12-10,0.03225806451612903
2016-12-11,0.0967741935483871
2016-12-12,0.03225806451612903
2016-12-13,0.0967741935483871
2016-12-14,0.16129032258064516
2016-12-15,0.03225806451612903
2016-12-16,0.06451612903225806
2016-12-17,0.0
2016-12-18,0.0
2016-12-19,0.06451612903225806
2016-12-20,0.06451612903225806
2016-12-21,0.06451612903225806
2016-12-22,0.12903225806451613
2016-12-23,0.16129032258064516
2016-12-24,0.03225806451612903
2016-12-25,0.06451612903225806
2016-12-26,0.06451612903225806
2016-12-27,0.03225806451612903
2016-12-28,0.0967741935483871
2016-12-29,0.25806451612903225
2016-12-30,0.1935483870967742
2016-12-31,0.0967741935483871
2017-01-01,0.06451612903225806
2017-01-02,0.0
2017-01-03,0.06451612903225806
2017-01-04,0.0967741935483871
2017-01-05,0.06451612903225806
2017-01-06,0.16129032258064516
2017-01-07,0.7419354838709677
2017-01-08,0.16129032258064516
2017-01-09,0.0967741935483871
2017-01-10,0.06451612903225806
2017-01-11,0.03225806451612903
2017-01-12,0.03225806451612903
2017-01-13,0.03225806451612903
2017-01-14,0.29032258064516125
