date,democratic convention
2016-05-01,1.0
2016-05-02,2.0
2016-05-03,2.0
2016-05-04,3.0
2016-05-05,1.0
2016-05-06,1.0
2016-05-07,2.0
2016-05-08,1.0
2016-05-09,1.0
2016-05-10,1.0
2016-05-11,2.0
2016-05-12,1.0
2016-05-13,1.0
2016-05-14,1.0
2016-05-15,4.0
2016-05-16,3.0
2016-05-17,3.0
2016-05-18,4.0
2016-05-19,3.0
2016-05-20,2.0
2016-05-21,2.0
2016-05-22,2.0
2016-05-23,2.0
2016-05-24,2.0
2016-05-25,2.0
2016-05-26,2.0
2016-05-27,1.0
2016-05-28,1.0
2016-05-29,1.0
2016-05-30,1.0
2016-05-31,1.0
2016-06-01,2.0
2016-06-02,2.0
2016-06-03,2.0
2016-06-04,2.0
2016-06-05,2.0
2016-06-06,2.0
2016-06-07,4.0
2016-06-08,6.0
2016-06-09,3.0
2016-06-10,2.0
2016-06-11,2.0
2016-06-12,2.0
2016-06-13,1.0
2016-06-14,2.0
2016-06-15,2.0
2016-06-16,2.0
2016-06-17,2.0
2016-06-18,3.0
2016-06-19,3.0
2016-06-20,3.0
2016-06-21,3.0
2016-06-22,3.0
2016-06-23,2.0
2016-06-24,2.0
2016-06-25,2.0
2016-06-26,3.0
2016-06-27,3.0
2016-06-28,3.0
2016-06-29,3.0
2016-06-30,3.0
2016-07-01,4.0
2016-07-02,3.0
2016-07-03,3.0
2016-07-04,3.0
2016-07-05,5.0
2016-07-06,5.0
2016-07-07,5.0
2016-07-08,4.0
2016-07-09,4.0
2016-07-10,4.0
2016-07-11,6.0
2016-07-12,6.0
2016-07-13,6.0
2016-07-14,6.0
2016-07-15,5.0
2016-07-16,6.0
2016-07-17,9.0
2016-07-18,12.0
2016-07-19,16.0
2016-07-20,15.0
2016-07-21,17.0
2016-07-22,21.0
2016-07-23,13.0
2016-07-24,17.0
2016-07-25,53.0
2016-07-26,100.0
2016-07-27,68.0
2016-07-28,64.0
2016-07-29,59.0
2016-07-30,25.0
2016-07-31,18.0
2016-08-01,5.0
2016-08-02,3.0
2016-08-03,5.0
2016-08-04,2.0
2016-08-05,1.0
2016-08-06,1.0
2016-08-07,1.0
2016-08-08,1.0
2016-08-09,1.0
2016-08-10,1.0
2016-08-11,1.0
2016-08-12,0.0
2016-08-13,0.0
2016-08-14,1.0
