date,obama impeach
2016-05-01,0.0
2016-05-02,11.0
2016-05-03,0.0
2016-05-04,0.0
2016-05-05,0.0
2016-05-06,0.0
2016-05-07,0.0
2016-05-08,4.0
2016-05-09,0.0
2016-05-10,0.0
2016-05-11,0.0
2016-05-12,4.0
2016-05-13,15.0
2016-05-14,8.0
2016-05-15,8.0
2016-05-16,14.0
2016-05-17,14.0
2016-05-18,3.0
2016-05-19,0.0
2016-05-20,40.0
2016-05-21,100.0
2016-05-22,38.0
2016-05-23,24.0
2016-05-24,11.0
2016-05-25,14.0
2016-05-26,11.0
2016-05-27,4.0
2016-05-28,4.0
2016-05-29,17.0
2016-05-30,0.0
2016-05-31,7.0
2016-06-01,11.0
2016-06-02,7.0
2016-06-03,4.0
2016-06-04,17.0
2016-06-05,8.0
2016-06-06,4.0
2016-06-07,7.0
2016-06-08,4.0
2016-06-09,7.0
2016-06-10,0.0
2016-06-11,4.0
2016-06-12,0.0
2016-06-13,28.0
2016-06-14,21.0
2016-06-15,14.0
2016-06-16,14.0
2016-06-17,7.0
2016-06-18,21.0
2016-06-19,4.0
2016-06-20,3.0
2016-06-21,4.0
2016-06-22,0.0
2016-06-23,4.0
2016-06-24,7.0
2016-06-25,8.0
2016-06-26,8.0
2016-06-27,4.0
2016-06-28,0.0
2016-06-29,4.0
2016-06-30,4.0
2016-07-01,0.0
2016-07-02,21.0
2016-07-03,4.0
2016-07-04,0.0
2016-07-05,11.0
2016-07-06,0.0
2016-07-07,7.0
2016-07-08,8.0
2016-07-09,9.0
2016-07-10,13.0
2016-07-11,14.0
2016-07-12,7.0
2016-07-13,4.0
2016-07-14,7.0
2016-07-15,22.0
2016-07-16,0.0
2016-07-17,0.0
2016-07-18,7.0
2016-07-19,0.0
2016-07-20,0.0
2016-07-21,4.0
2016-07-22,4.0
2016-07-23,4.0
2016-07-24,0.0
2016-07-25,4.0
2016-07-26,0.0
2016-07-27,0.0
2016-07-28,0.0
2016-07-29,0.0
2016-07-30,4.0
2016-07-31,4.0
2016-08-01,0.0
2016-08-02,4.0
2016-08-03,4.0
2016-08-04,11.0
2016-08-05,0.0
2016-08-06,9.0
2016-08-07,4.0
2016-08-08,7.0
2016-08-09,4.0
2016-08-10,0.0
2016-08-11,0.0
2016-08-12,0.0
2016-08-13,0.0
2016-08-14,0.0
2016-08-15,0.0
2016-08-16,4.0
2016-08-17,0.0
2016-08-18,0.0
2016-08-19,0.0
2016-08-20,0.0
2016-08-21,8.0
2016-08-22,4.0
2016-08-23,7.0
2016-08-24,4.0
2016-08-25,7.0
2016-08-26,0.0
2016-08-27,0.0
2016-08-28,12.0
2016-08-29,0.0
2016-08-30,3.0
2016-08-31,3.0
2016-09-01,7.0
2016-09-02,0.0
2016-09-03,0.0
2016-09-04,0.0
2016-09-05,4.0
2016-09-06,0.0
2016-09-07,0.0
2016-09-08,4.0
2016-09-09,0.0
2016-09-10,0.0
2016-09-11,0.0
2016-09-12,0.0
2016-09-13,0.0
2016-09-14,0.0
2016-09-15,7.0
2016-09-16,0.0
2016-09-17,4.0
2016-09-18,0.0
2016-09-19,0.0
2016-09-20,3.0
2016-09-21,3.0
2016-09-22,0.0
2016-09-23,0.0
2016-09-24,8.0
2016-09-25,0.0
2016-09-26,3.0
2016-09-27,7.0
2016-09-28,3.0
2016-09-29,3.0
2016-09-30,0.0
2016-10-01,0.0
2016-10-02,0.0
2016-10-03,3.414893617021277
2016-10-04,2.872340425531915
2016-10-05,1.5
2016-10-06,1.4361702127659575
2016-10-07,7.872340425531915
2016-10-08,2.0
2016-10-09,4.3936170212765955
2016-10-10,7.872340425531915
2016-10-11,6.372340425531915
2016-10-12,2.872340425531915
2016-10-13,14.872340425531915
2016-10-14,1.4361702127659575
2016-10-15,5.4361702127659575
2016-10-16,2.393617021276596
