date,hillary clinton criminal
2016-05-01,2.0
2016-05-02,2.0
2016-05-03,2.0
2016-05-04,5.0
2016-05-05,4.0
2016-05-06,6.0
2016-05-07,2.0
2016-05-08,2.0
2016-05-09,2.0
2016-05-10,2.0
2016-05-11,2.0
2016-05-12,2.0
2016-05-13,3.0
2016-05-14,2.0
2016-05-15,2.0
2016-05-16,1.0
2016-05-17,1.0
2016-05-18,2.0
2016-05-19,1.0
2016-05-20,1.0
2016-05-21,1.0
2016-05-22,2.0
2016-05-23,2.0
2016-05-24,1.0
2016-05-25,1.0
2016-05-26,1.0
2016-05-27,1.0
2016-05-28,1.0
2016-05-29,2.0
2016-05-30,2.0
2016-05-31,1.0
2016-06-01,2.0
2016-06-02,2.0
2016-06-03,1.0
2016-06-04,1.0
2016-06-05,3.0
2016-06-06,2.0
2016-06-07,2.0
2016-06-08,7.0
2016-06-09,14.0
2016-06-10,100.0
2016-06-11,74.0
2016-06-12,31.0
2016-06-13,11.0
2016-06-14,9.0
2016-06-15,12.0
2016-06-16,7.0
2016-06-17,5.0
2016-06-18,5.0
2016-06-19,11.0
2016-06-20,7.0
2016-06-21,5.0
2016-06-22,3.0
2016-06-23,2.0
2016-06-24,3.0
2016-06-25,4.0
2016-06-26,4.0
2016-06-27,3.0
2016-06-28,4.0
2016-06-29,3.0
2016-06-30,4.0
2016-07-01,4.0
2016-07-02,2.0
2016-07-03,2.0
2016-07-04,2.0
2016-07-05,7.0
2016-07-06,8.0
2016-07-07,4.0
2016-07-08,3.0
2016-07-09,2.0
2016-07-10,1.0
2016-07-11,1.0
2016-07-12,3.0
2016-07-13,2.0
2016-07-14,1.0
2016-07-15,1.0
2016-07-16,2.0
2016-07-17,1.0
2016-07-18,1.0
2016-07-19,2.0
2016-07-20,2.0
2016-07-21,3.0
2016-07-22,3.0
2016-07-23,2.0
2016-07-24,3.0
2016-07-25,4.0
2016-07-26,3.0
2016-07-27,6.0
2016-07-28,7.0
2016-07-29,8.0
2016-07-30,2.0
2016-07-31,2.0
2016-08-01,3.0
2016-08-02,2.0
2016-08-03,2.0
2016-08-04,2.0
2016-08-05,3.0
2016-08-06,2.0
2016-08-07,2.0
2016-08-08,2.0
2016-08-09,1.0
2016-08-10,2.0
2016-08-11,2.0
2016-08-12,5.0
2016-08-13,6.0
2016-08-14,3.0
2016-08-15,2.0
2016-08-16,2.0
2016-08-17,2.0
2016-08-18,1.0
2016-08-19,1.0
2016-08-20,2.0
2016-08-21,1.0
2016-08-22,1.0
2016-08-23,3.0
2016-08-24,2.0
2016-08-25,1.0
2016-08-26,2.0
2016-08-27,3.0
2016-08-28,2.0
2016-08-29,2.0
2016-08-30,2.0
2016-08-31,1.0
2016-09-01,2.0
2016-09-02,1.0
2016-09-03,2.0
2016-09-04,1.0
2016-09-05,2.0
2016-09-06,2.0
2016-09-07,1.0
2016-09-08,1.0
2016-09-09,2.0
2016-09-10,2.0
2016-09-11,2.0
2016-09-12,2.0
2016-09-13,4.0
2016-09-14,1.0
2016-09-15,3.0
2016-09-16,2.0
