date,hillary clinton bankrupt
2016-05-01,27.74299516908213
2016-05-02,23.779710144927538
2016-05-03,23.213526570048312
2016-05-04,0.0
2016-05-05,24.345893719806764
2016-05-06,24.912077294685993
2016-05-07,0.0
2016-05-08,27.74299516908213
2016-05-09,0.0
2016-05-10,0.0
2016-05-11,0.0
2016-05-12,23.779710144927538
2016-05-13,24.345893719806764
2016-05-14,0.0
2016-05-15,0.0
2016-05-16,23.213526570048312
2016-05-17,23.213526570048312
2016-05-18,0.0
2016-05-19,46.99323671497585
2016-05-20,24.345893719806764
2016-05-21,28.309178743961354
2016-05-22,0.0
2016-05-23,0.0
2016-05-24,23.213526570048312
2016-05-25,23.779710144927538
2016-05-26,0.0
2016-05-27,0.0
2016-05-28,0.0
2016-05-29,0.0
2016-05-30,0.0
2016-05-31,0.0
2016-06-01,0.0
2016-06-02,23.779710144927538
2016-06-03,0.0
2016-06-04,28.309178743961354
2016-06-05,0.0
2016-06-06,0.0
2016-06-07,0.0
2016-06-08,0.0
2016-06-09,0.0
2016-06-10,24.912077294685993
2016-06-11,27.176811594202903
2016-06-12,0.0
2016-06-13,0.0
2016-06-14,0.0
2016-06-15,0.0
2016-06-16,0.0
2016-06-17,0.0
2016-06-18,0.0
2016-06-19,0.0
2016-06-20,0.0
2016-06-21,23.213526570048312
2016-06-22,0.0
2016-06-23,0.0
2016-06-24,0.0
2016-06-25,0.0
2016-06-26,0.0
2016-06-27,0.0
2016-06-28,0.0
2016-06-29,23.779710144927538
2016-06-30,0.0
2016-07-01,0.0
2016-07-02,28.309178743961354
2016-07-03,0.0
2016-07-04,0.0
2016-07-05,24.345893719806764
2016-07-06,36.80193236714976
2016-07-07,37.368115942028986
2016-07-08,0.0
2016-07-09,0.0
2016-07-10,0.0
2016-07-11,0.0
2016-07-12,0.0
2016-07-13,0.0
2016-07-14,0.0
2016-07-15,0.0
2016-07-16,0.0
2016-07-17,28.875362318840583
2016-07-18,0.0
2016-07-19,24.345893719806764
2016-07-20,24.345893719806764
2016-07-21,24.912077294685993
2016-07-22,24.912077294685993
2016-07-23,0.0
2016-07-24,28.309178743961354
2016-07-25,24.345893719806764
2016-07-26,23.779710144927538
2016-07-27,48.1256038647343
2016-07-28,24.345893719806764
2016-07-29,25.47826086956522
2016-07-30,28.875362318840583
2016-07-31,28.309178743961354
2016-08-01,24.345893719806764
2016-08-02,0.0
2016-08-03,48.1256038647343
2016-08-04,0.0
2016-08-05,24.912077294685993
2016-08-06,0.0
2016-08-07,56.61835748792271
2016-08-08,23.779710144927538
2016-08-09,0.0
2016-08-10,0.0
2016-08-11,24.345893719806764
2016-08-12,24.912077294685993
2016-08-13,0.0
2016-08-14,0.0
2016-08-15,0.0
2016-08-16,0.0
2016-08-17,0.0
2016-08-18,0.0
2016-08-19,0.0
2016-08-20,0.0
2016-08-21,0.0
2016-08-22,0.0
2016-08-23,23.779710144927538
2016-08-24,0.0
2016-08-25,0.0
2016-08-26,0.0
2016-08-27,0.0
2016-08-28,0.0
2016-08-29,0.0
2016-08-30,23.213526570048312
2016-08-31,0.0
2016-09-01,23.213526570048312
2016-09-02,0.0
2016-09-03,27.74299516908213
2016-09-04,0.0
2016-09-05,23.779710144927538
2016-09-06,0.0
2016-09-07,23.213526570048312
2016-09-08,0.0
2016-09-09,0.0
2016-09-10,0.0
2016-09-11,0.0
2016-09-12,23.213526570048312
2016-09-13,0.0
2016-09-14,23.213526570048312
2016-09-15,0.0
2016-09-16,24.345893719806764
2016-09-17,26.610628019323673
2016-09-18,0.0
2016-09-19,22.647342995169083
2016-09-20,0.0
2016-09-21,0.0
2016-09-22,0.0
2016-09-23,24.345893719806764
2016-09-24,0.0
2016-09-25,0.0
2016-09-26,22.647342995169083
2016-09-27,45.29468599033817
2016-09-28,0.0
2016-09-29,0.0
2016-09-30,23.779710144927538
2016-10-01,12.0
2016-10-02,12.73913043478261
2016-10-03,0.0
2016-10-04,0.0
2016-10-05,0.0
2016-10-06,21.32367149758454
2016-10-07,27.768599033816425
2016-10-08,36.522222222222226
2016-10-09,24.522222222222226
2016-10-10,20.5
2016-10-11,10.0
2016-10-12,0.0
2016-10-13,21.32367149758454
2016-10-14,33.713526570048316
2016-10-15,11.5
2016-10-16,35.73913043478261
2016-10-17,21.04057971014493
2016-10-18,21.04057971014493
2016-10-19,21.04057971014493
2016-10-20,26.04057971014493
2016-10-21,42.32367149758454
2016-10-22,24.522222222222226
2016-10-23,24.522222222222226
2016-10-24,32.36425120772947
2016-10-25,11.040579710144929
2016-10-26,31.298067632850245
2016-10-27,0.0
2016-10-28,0.0
2016-10-29,13.022222222222224
2016-10-30,11.5
2016-10-31,27.268599033816425
2016-11-01,11.323671497584542
2016-11-02,20.0
2016-11-03,59.0
2016-11-04,20.0
2016-11-05,0.0
2016-11-06,23.0
2016-11-07,39.0
2016-11-08,68.0
2016-11-09,100.0
2016-11-10,60.0
2016-11-11,21.0
2016-11-12,46.0
2016-11-13,44.0
2016-11-14,19.0
2016-11-15,20.0
2016-11-16,20.0
2016-11-17,0.0
2016-11-18,0.0
2016-11-19,0.0
2016-11-20,22.0
2016-11-21,0.0
2016-11-22,19.0
2016-11-23,0.0
2016-11-24,0.0
2016-11-25,0.0
2016-11-26,22.0
2016-11-27,22.0
2016-11-28,0.0
2016-11-29,0.0
2016-11-30,0.0
2016-12-01,39.0
2016-12-02,0.0
2016-12-03,0.0
2016-12-04,0.0
2016-12-05,0.0
2016-12-06,19.0
2016-12-07,0.0
2016-12-08,0.0
2016-12-09,0.0
2016-12-10,0.0
2016-12-11,0.0
2016-12-12,0.0
2016-12-13,0.0
2016-12-14,0.0
2016-12-15,0.0
2016-12-16,0.0
2016-12-17,0.0
2016-12-18,0.0
2016-12-19,0.0
2016-12-20,0.0
2016-12-21,0.0
2016-12-22,21.0
2016-12-23,0.0
2016-12-24,0.0
2016-12-25,0.0
2016-12-26,0.0
2016-12-27,0.0
2016-12-28,0.0
2016-12-29,0.0
2016-12-30,0.0
2016-12-31,0.0
2017-01-01,0.0
2017-01-02,0.0
2017-01-03,0.0
2017-01-04,0.0
2017-01-05,0.0
2017-01-06,0.0
2017-01-07,0.0
2017-01-08,0.0
2017-01-09,0.0
2017-01-10,0.0
2017-01-11,0.0
2017-01-12,0.0
2017-01-13,0.0
2017-01-14,0.0
2017-01-15,0.0
2017-01-16,0.0
2017-01-17,0.0
2017-01-18,0.0
2017-01-19,19.0
2017-01-20,19.0
2017-01-21,0.0
2017-01-22,0.0
2017-01-23,0.0
2017-01-24,0.0
2017-01-25,0.0
2017-01-26,0.0
2017-01-27,0.0
2017-01-28,0.0
2017-01-29,0.0
2017-01-30,0.0
2017-01-31,0.0
2017-02-01,0.0
2017-02-02,0.0
2017-02-03,0.0
2017-02-04,0.0
2017-02-05,0.0
2017-02-06,0.0
2017-02-07,0.0
2017-02-08,0.0
2017-02-09,0.0
2017-02-10,0.0
2017-02-11,0.0
2017-02-12,0.0
2017-02-13,0.0
2017-02-14,0.0
2017-02-15,0.0
2017-02-16,0.0
2017-02-17,0.0
2017-02-18,0.0
2017-02-19,0.0
2017-02-20,0.0
2017-02-21,0.0
2017-02-22,0.0
2017-02-23,0.0
2017-02-24,0.0
2017-02-25,0.0
2017-02-26,0.0
2017-02-27,0.0
2017-02-28,0.0
2017-03-01,0.0
2017-03-02,0.0
2017-03-03,0.0
2017-03-04,0.0
2017-03-05,0.0
2017-03-06,0.0
2017-03-07,0.0
2017-03-08,0.0
2017-03-09,0.0
2017-03-10,0.0
2017-03-11,0.0
2017-03-12,0.0
2017-03-13,0.0
2017-03-14,0.0
2017-03-15,14.25
2017-03-16,0.0
2017-03-17,0.0
2017-03-18,0.0
2017-03-19,0.0
2017-03-20,0.0
2017-03-21,0.0
2017-03-22,0.0
2017-03-23,4.75
2017-03-24,0.0
2017-03-25,0.0
2017-03-26,0.0
2017-03-27,0.0
2017-03-28,0.0
2017-03-29,0.0
2017-03-30,0.0
2017-03-31,0.0
2017-04-01,0.0
2017-04-02,0.0
2017-04-03,0.0
2017-04-04,0.0
2017-04-05,0.0
2017-04-06,0.0
2017-04-07,0.0
2017-04-08,0.0
2017-04-09,0.0
2017-04-10,0.0
2017-04-11,0.0
2017-04-12,0.0
2017-04-13,0.0
2017-04-14,0.0
2017-04-15,0.0
2017-04-16,0.0
2017-04-17,0.0
2017-04-18,0.0
2017-04-19,0.0
2017-04-20,0.0
2017-04-21,0.0
2017-04-22,0.0
2017-04-23,0.0
2017-04-24,0.0
2017-04-25,0.0
2017-04-26,0.0
2017-04-27,0.0
2017-04-28,0.0
2017-04-29,0.0
2017-04-30,0.0
2017-05-01,0.0
2017-05-02,0.0
2017-05-03,0.0
2017-05-04,0.0
2017-05-05,0.0
2017-05-06,0.0
2017-05-07,0.0
2017-05-08,9.704301075268818
2017-05-09,0.0
2017-05-10,9.60215053763441
2017-05-11,0.0
2017-05-12,0.0
2017-05-13,0.0
2017-05-14,0.0
2017-05-15,9.60215053763441
2017-05-16,0.0
2017-05-17,0.0
2017-05-18,0.0
2017-05-19,0.0
2017-05-20,0.0
2017-05-21,0.0
2017-05-22,0.0
2017-05-23,0.0
2017-05-24,0.0
2017-05-25,0.0
2017-05-26,0.0
2017-05-27,0.0
2017-05-28,0.0
2017-05-29,0.0
2017-05-30,0.0
2017-05-31,0.0
2017-06-01,9.806451612903226
2017-06-02,10.21505376344086
2017-06-03,0.0
