date,trump emails
2016-05-01,1.0
2016-05-02,2.0
2016-05-03,1.0
2016-05-04,5.0
2016-05-05,4.0
2016-05-06,1.0
2016-05-07,4.0
2016-05-08,2.0
2016-05-09,2.0
2016-05-10,3.0
2016-05-11,2.0
2016-05-12,2.0
2016-05-13,2.0
2016-05-14,3.0
2016-05-15,2.0
2016-05-16,2.0
2016-05-17,1.0
2016-05-18,3.0
2016-05-19,1.0
2016-05-20,2.0
2016-05-21,1.0
2016-05-22,1.0
2016-05-23,1.0
2016-05-24,1.0
2016-05-25,5.0
2016-05-26,9.0
2016-05-27,7.0
2016-05-28,2.0
2016-05-29,2.0
2016-05-30,2.0
2016-05-31,2.0
2016-06-01,2.0
2016-06-02,2.0
2016-06-03,5.0
2016-06-04,1.0
2016-06-05,2.0
2016-06-06,2.0
2016-06-07,3.0
2016-06-08,2.0
2016-06-09,5.0
2016-06-10,12.0
2016-06-11,6.0
2016-06-12,3.0
2016-06-13,6.0
2016-06-14,8.0
2016-06-15,6.0
2016-06-16,4.0
2016-06-17,5.0
2016-06-18,4.0
2016-06-19,3.0
2016-06-20,2.0
2016-06-21,3.0
2016-06-22,3.0
2016-06-23,3.0
2016-06-24,5.0
2016-06-25,1.0
2016-06-26,2.0
2016-06-27,1.0
2016-06-28,4.0
2016-06-29,5.0
2016-06-30,4.0
2016-07-01,4.0
2016-07-02,3.0
2016-07-03,3.0
2016-07-04,3.0
2016-07-05,11.0
2016-07-06,12.0
2016-07-07,7.0
2016-07-08,6.0
2016-07-09,5.0
2016-07-10,4.0
2016-07-11,4.0
2016-07-12,3.0
2016-07-13,2.0
2016-07-14,6.0
2016-07-15,3.0
2016-07-16,2.0
2016-07-17,3.0
2016-07-18,3.0
2016-07-19,5.0
2016-07-20,7.0
2016-07-21,6.0
2016-07-22,9.0
2016-07-23,15.0
2016-07-24,23.0
2016-07-25,38.0
2016-07-26,31.0
2016-07-27,100.0
2016-07-28,90.0
2016-07-29,35.0
2016-07-30,18.0
2016-07-31,12.0
2016-08-01,14.0
2016-08-02,10.0
2016-08-03,10.0
2016-08-04,7.0
2016-08-05,6.0
2016-08-06,5.0
2016-08-07,7.0
2016-08-08,3.0
2016-08-09,5.0
2016-08-10,10.0
2016-08-11,12.0
2016-08-12,13.0
2016-08-13,5.0
2016-08-14,7.0
